code,name,brand,category,description,price_usd,price_ars
1383/00019-530,EJE DE RUEDA TRAS. HONDA WAVE 12x220 ELE,,Repuestos / General,"EJE DE RUEDA TRAS. HONDA WAVE 12x220 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 3104.76078 Código interno: 1383/00019-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,3104.76078
1383/00045-530,EJE DE RUEDA TRAS. RX 150/CUSTOM 150/SKUA 15x310 ELE,,Repuestos / General,"EJE DE RUEDA TRAS. RX 150/CUSTOM 150/SKUA 15x310 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4989.179448 Código interno: 1383/00045-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4989.179448
1383/00061-530,EJE DE RUEDA TRAS. UNIVERSAL 12x290 ELE,,Repuestos / General,"EJE DE RUEDA TRAS. UNIVERSAL 12x290 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4052.233251 Código interno: 1383/00061-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4052.233251
1383/00064-530,EJE DE RUEDA TRAS. YAMAHA FZ16 15x310 ELE,,Repuestos / General,"EJE DE RUEDA TRAS. YAMAHA FZ16 15x310 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4989.179448 Código interno: 1383/00064-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4989.179448
1383/00065-530,EJE DE RUEDA TRAS. YAMAHA YBR125 15x235 ELE,,Repuestos / General,"EJE DE RUEDA TRAS. YAMAHA YBR125 15x235 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4614.810651 Código interno: 1383/00065-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4614.810651
1383/00066-530,EJE DE RUEDA TRAS. YAMAHA YBR250 15x290 ELE,,Repuestos / General,"EJE DE RUEDA TRAS. YAMAHA YBR250 15x290 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 5149.24938 Código interno: 1383/00066-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,5149.24938
1235/00010-533,EJE DEL FLOTANTE x10unid. CICLOMEJOR,,Repuestos / General,"EJE DEL FLOTANTE x10unid. CICLOMEJOR Categoría: Repuestos / General. precio USD 0.0 | precio ARS 107.977617 Código interno: 1235/00010-533. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,107.977617
1377/00022-530,EJE HORQUILLON GILERA SMASH C/TOPE 10x270 ELE,,Repuestos / General,"EJE HORQUILLON GILERA SMASH C/TOPE 10x270 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4539.538971 Código interno: 1377/00022-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4539.538971
1377/00020-530,EJE HORQUILLON GILERA SMASH-HONDA BIZ-TRIP 10x245 ELE,,Repuestos / General,"EJE HORQUILLON GILERA SMASH-HONDA BIZ-TRIP 10x245 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 2893.068981 Código interno: 1377/00020-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,2893.068981
1377/00032-530,EJE HORQUILLON HONDA CG 14x255 ELE,,Repuestos / General,"EJE HORQUILLON HONDA CG 14x255 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4263.052761 Código interno: 1377/00032-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4263.052761
