code,description,price_importado,price_nacional,categoria_nueva,marca_final,modelo_final
1087/00122-128,BIELA MOTOMEL SKUA 200/250 .,8.564342477911262,0,OTROS,MOTOMEL,SKUA200
1087/00121-128,BIELA MOTOMEL SKUA 250/250F/XMM CON MUÑON .,9.014665834307099,0,OTROS,MOTOMEL,SKUA 250
1087/00121-038,BIELA MOTOMEL SKUA 250/250F/XMM CON MUÑON NSU,9.01449687301426,0,OTROS,MOTOMEL,NS 250
1087/00147-128,BIELA YAMAHA CRYPTON .,6.993860105660906,0,OTROS,YAMAHA,CRYPTON
1087/00147-038,BIELA YAMAHA CRYPTON NSU,6.993919591409369,0,OTROS,YAMAHA,CRYPTON
1087/00149-128,BIELA YAMAHA YBR125 .,7.56262635005333,0,OTROS,YAMAHA,YBR125
1087/00149-038,BIELA YAMAHA YBR125 NSU,7.56244570804905,0,OTROS,YAMAHA,YBR125
1087/00086-128,BIELA ZANELLA RX150/XR200 JAPON/CG 83/89 .,8.252147852976035,0,OTROS,ZANELLA,RX150
1087/00086-038,BIELA ZANELLA RX150/XR200 JAPON/CG 83/89 NSU,8.252401726744937,0,OTROS,ZANELLA,RX150
1059/00010-566,BISAGRA ASIENTO ZANELLA DUE VC,0,2991.353409,OTROS,GILERA / ZANELLA,DUE
1093/03033-667,BOBINA ALIMENTACION MOTOS 110CC 3PUNTAS 21CHAPAS PIETCARD,0,17302.597191,ELECTRICIDAD,,UNIVERSAL
1093/03002-667,BOBINA ALIMENTACION ZANELLA CICLOMOTOR SIN SENSOR PIETCARD,0,17816.473422,ELECTRICIDAD,ZANELLA,UNIVERSAL
1093/03019-667,BOBINA ALIMENTACION ZANELLAZB110/SEXY/GILERA SMASH PIETCARD,0,12271.263642,ELECTRICIDAD,GILERA,SMASH / ZB110
1093/03213-667,BOBINA DE ALTA CICLOMOTORES PLATINO PIETCARD,0,29378.644515,ELECTRICIDAD,,UNIVERSAL
1093/13224-667,BOBINA DE ALTA UNIVERSAL COMPETICION PIETCARD,0,32009.193711,ELECTRICIDAD,,UNIVERSAL
1093/13225-667,BOBINA DE ALTA UNIVERSAL COMPETICION PIETCARD,0,56995.206444,ELECTRICIDAD,,UNIVERSAL
1095/01074-623,BOBINA DE ENCENDIDO CICLOMOTOR VOL.ELECTRONICO DZE,0,14600.049849,ELECTRICIDAD,,UNIVERSAL
1095/01075-623,BOBINA DE ENCENDIDO CICLOMOTOR VOL.ELECTRONICO DZE,0,15829.898931,ELECTRICIDAD,,UNIVERSAL
1095/01130-623,BOBINA DE ENCENDIDO CICLOMOTOR VOLANTE MAGNETRON DZE,0,13904.737506,ELECTRICIDAD,,UNIVERSAL
1095/00030-591,BOBINA DE ENCENDIDO COMPET JUKI/DADALT DOBLE AISL. APOLO,0,36857.83662,ELECTRICIDAD,,UNIVERSAL
1095/00087-519,BOBINA DE ENCENDIDO GARELLI FANTI VOL.BOSCH .,0,31.402404,ELECTRICIDAD,,UNIVERSAL
1095/00115-591,BOBINA DE ENCENDIDO GILERA C50/C70/C110 APOLO,0,30353.510781,ELECTRICIDAD,GILERA,UNIVERSAL
1095/00084-591,BOBINA DE ENCENDIDO GILERA ESTILO APOLO,0,30353.510781,ELECTRICIDAD,GILERA,UNIVERSAL
1095/00123-591,BOBINA DE ENCENDIDO GILERA FU110 APOLO,0,30353.510781,ELECTRICIDAD,GILERA,UNIVERSAL
1095/00125-591,BOBINA DE ENCENDIDO GILERA FUTURA 110/LX100 APOLO,0,30353.510781,ELECTRICIDAD,GILERA,FUTURA 110
1095/00130-591,BOBINA DE ENCENDIDO GILERA QAX100PD APOLO,0,30279.35641500001,ELECTRICIDAD,GILERA,AX100
